CobbleID,Weight,A,B,C,RadA,RadB,RadC,AvgRad,DistanceBetweenLegs,Y,WholeS,WholeRad,ReducedS,ReducedRad,SurfaceAreaEllipsoid,SurfaceAreaSphereRad,SurfaceAreaFromLensWhole,SurfaceAreaFromLensReduced
1,199,71,55,34,35.5,27.5,17,26.66666667,16.52,8.26,1.2,29.02816667,1.22,28.57213115,8852.872544,8936.08576,10588.85691,10258.76623
2,101,55,40,32,27.5,20,16,21.16666667,16.52,8.26,1.5,23.49253333,1.33,26.31447368,5571.841569,5630.083095,6935.368906,8701.602489
3,80,51,39,30,25.5,19.5,15,20,16.52,8.26,1.65,21.5000303,1.47,23.94166667,4985.123449,5026.54824,5808.821184,7203.086388
4,92,60,39,30,30,19.5,15,21.5,16.52,8.26,1.71,20.80459064,1.33,26.31447368,5695.732983,5808.80481,5439.114651,8701.602489
5,252,84,58,36,42,29,18,29.66666667,16.52,8.26,1.24,28.13112903,1.12,31.01875,10867.39104,11059.80239,9944.528324,12090.89497
6,181,70,67,29,35,33.5,14.5,27.66666667,16.52,8.26,1.43,24.5708042,1.3,26.89138462,9634.680127,9618.858563,7586.624787,9087.327753
7,56,44,37,32,22,18.5,16,18.83333333,16.52,8.26,1.78,20.05505618,2.21,16.5411086,4443.615663,4457.221839,5054.260585,3438.262966
8,222,79,57,36,39.5,28.5,18,28.66666667,16.52,8.26,1.22,28.57213115,1.28,27.29140625,10184.14818,10326.76411,10258.76623,9359.694896
9,53,53,34,22,26.5,17,11,18.16666667,16.52,8.26,1.62,21.86790123,1.98,18.21919192,4047.603469,4147.251364,6009.302565,4171.267915
10,67,44,43,30,22,21.5,15,19.5,16.52,8.26,1.81,19.75240331,1.57,22.51353503,4767.148035,4778.362421,4902.862942,6369.381299
11,119,63,46,30,31.5,23,15,23.16666667,16.52,8.26,1.41,24.8991844,1.26,27.70444444,6658.109129,6744.301288,7790.765036,9645.144866
12,184,69,53,43,34.5,26.5,21.5,27.5,16.52,8.26,1.34,26.1280597,1.55,22.78390323,9434.654499,9503.317766,8578.75338,6523.281471
13,147,69,60,31,34.5,30,15.5,26.66666667,16.52,8.26,1.47,23.94166667,1.2,29.02816667,8907.02621,8936.08576,7203.086388,10588.85691
14,72,48,38,29,24,19,14.5,19.16666667,16.52,8.26,1.75,20.3686,1.35,25.94448148,4585.330552,4616.395866,5213.53415,8458.626612
15,107,59,49,30,29.5,24.5,15,23,16.52,8.26,1.58,22.38101266,1.77,20.15833333,6607.344278,6647.610047,6294.617274,5106.450286
16,130,71,49,26,35.5,24.5,13,24.33333333,16.52,8.26,1.31,26.6960687,1.29,27.0898062,7311.93629,7440.687659,8955.802057,9221.92657
17,213,82,52,41,41,26,20.5,29.16666667,16.52,8.26,1.23,28.34979675,1.25,27.91604,10464.82344,10690.14166,10099.72998,9793.039076
18,92,59,38,26,29.5,19,13,20.5,16.52,8.26,1.77,20.15833333,1.13,30.75420354,5160.708556,5281.017245,5106.450286,11885.53765
19,110,65,62,19,32.5,31,9.5,24.33333333,16.52,8.26,1.16,29.98844828,1.11,31.28815315,7552.004349,7440.687659,11301.02542,12301.83
20,117,59,47,32,29.5,23.5,16,23,16.52,8.26,1.45,24.25175862,1.29,27.0898062,6597.496725,6647.610047,7390.883175,9221.92657
