CobbleID,DistanceBetweenLegs,Y,S
6,16.52,8.26,4.82
6,16.52,8.26,1.66
6,16.52,8.26,0.32
6,16.52,8.26,0.97
6,16.52,8.26,1.91
6,16.52,8.26,1.42
6,16.52,8.26,0.76
6,16.52,8.26,0.16
6,16.52,8.26,0.28
6,16.52,8.26,4.43
6,16.52,8.26,4.64
6,16.52,8.26,0.94
6,16.52,8.26,0.03
6,16.52,8.26,0.54
6,16.52,8.26,1.42
6,16.52,8.26,1.41
6,16.52,8.26,3.3
6,16.52,8.26,0.64
6,16.52,8.26,0.26
6,16.52,8.26,1.2
6,16.52,8.26,1.53
6,16.52,8.26,0.97
6,16.52,8.26,4
6,16.52,8.26,0.98
6,16.52,8.26,0.35
6,16.52,8.26,0.06
6,16.52,8.26,0.1
6,16.52,8.26,1.63
6,16.52,8.26,2.14
6,16.52,8.26,3.98
6,16.52,8.26,1.02
6,16.52,8.26,0.23
6,16.52,8.26,0.04
6,16.52,8.26,1.43
6,16.52,8.26,2.25
6,16.52,8.26,4.85
6,16.52,8.26,0.26
6,16.52,8.26,0.03
6,16.52,8.26,0.45
6,16.52,8.26,1.8
6,16.52,8.26,1.91
6,16.52,8.26,4.63
6,16.52,8.26,1.07
6,16.52,8.26,0.18
6,16.52,8.26,0.44
6,16.52,8.26,1.35
6,16.52,8.26,4.19
6,16.52,8.26,0.44
6,16.52,8.26,0.35
6,16.52,8.26,1.3
6,16.52,8.26,0.25
6,16.52,8.26,0.31
6,16.52,8.26,0.65
6,16.52,8.26,2.78
6,16.52,8.26,0.86
6,16.52,8.26,1.03
6,16.52,8.26,2.48
6,16.52,8.26,5.64
6,16.52,8.26,0.5
6,16.52,8.26,0.14
6,16.52,8.26,0.48
6,16.52,8.26,1.26
6,16.52,8.26,1.98
6,16.52,8.26,4.29
6,16.52,8.26,0.53
6,16.52,8.26,0.09
6,16.52,8.26,0.74
6,16.52,8.26,0.21
6,16.52,8.26,4.09
6,16.52,8.26,4.23
6,16.52,8.26,0.38
6,16.52,8.26,0.43
6,16.52,8.26,0.2
6,16.52,8.26,0.71
6,16.52,8.26,3.02
6,16.52,8.26,3.58
6,16.52,8.26,0.79
6,16.52,8.26,0.04
6,16.52,8.26,0.6
6,16.52,8.26,0.35
6,16.52,8.26,0.56
6,16.52,8.26,1.98
6,16.52,8.26,2.64
6,16.52,8.26,1.28
6,16.52,8.26,0.35
6,16.52,8.26,0.21
6,16.52,8.26,1.48
6,16.52,8.26,3.07
6,16.52,8.26,0.73
6,16.52,8.26,0.25
6,16.52,8.26,1.33
6,16.52,8.26,1.56
6,16.52,8.26,1.14
6,16.52,8.26,1.15
6,16.52,8.26,0.76
6,16.52,8.26,0.96
6,16.52,8.26,2.48
6,16.52,8.26,1.71
6,16.52,8.26,0.42
6,16.52,8.26,0.14
6,16.52,8.26,3.03
6,16.52,8.26,2.32
6,16.52,8.26,0.03
6,16.52,8.26,0.5
6,16.52,8.26,0.91
6,16.52,8.26,2.32
6,16.52,8.26,3.18
6,16.52,8.26,0.28
6,16.52,8.26,1.08
6,16.52,8.26,2.33
6,16.52,8.26,3.08
6,16.52,8.26,0.16
6,16.52,8.26,0.82
6,16.52,8.26,1.81
6,16.52,8.26,1.92
6,16.52,8.26,0.4
6,16.52,8.26,1.16
6,16.52,8.26,2.36
6,16.52,8.26,2.03
6,16.52,8.26,0.79
6,16.52,8.26,2.31
6,16.52,8.26,2.23
6,16.52,8.26,1.24
6,16.52,8.26,1.23
6,16.52,8.26,2.4
6,16.52,8.26,1.18
6,16.52,8.26,1.24
6,16.52,8.26,0.42
6,16.52,8.26,1.8
6,16.52,8.26,1.76
6,16.52,8.26,0.05
6,16.52,8.26,1.1
6,16.52,8.26,0.79
6,16.52,8.26,1.77
6,16.52,8.26,0.99
6,16.52,8.26,1.65
6,16.52,8.26,1.81
6,16.52,8.26,1.38
6,16.52,8.26,1.28
6,16.52,8.26,0.07
6,16.52,8.26,0.26
6,16.52,8.26,3.1
6,16.52,8.26,2.08
6,16.52,8.26,0.78
6,16.52,8.26,1.31
6,16.52,8.26,1.16
6,16.52,8.26,1.03
6,16.52,8.26,2.48
6,16.52,8.26,1.58
6,16.52,8.26,0.72
6,16.52,8.26,0.83
6,16.52,8.26,1.66
6,16.52,8.26,1.51
6,16.52,8.26,1.88
6,16.52,8.26,2.25
6,16.52,8.26,1.52
7,16.52,8.26,1.75
7,16.52,8.26,2.56
7,16.52,8.26,1.14
7,16.52,8.26,0.62
7,16.52,8.26,2.69
7,16.52,8.26,2.25
7,16.52,8.26,1.59
7,16.52,8.26,3.93
7,16.52,8.26,0.93
7,16.52,8.26,2.96
7,16.52,8.26,3.1
7,16.52,8.26,1.28
7,16.52,8.26,3.45
7,16.52,8.26,1.09
7,16.52,8.26,1.19
7,16.52,8.26,3.86
7,16.52,8.26,0.56
7,16.52,8.26,2.8
7,16.52,8.26,0.68
7,16.52,8.26,2.27
7,16.52,8.26,2.7
7,16.52,8.26,3.06
7,16.52,8.26,0.15
7,16.52,8.26,1.81
7,16.52,8.26,2.64
7,16.52,8.26,1.62
7,16.52,8.26,2.97
7,16.52,8.26,1.27
7,16.52,8.26,2.05
7,16.52,8.26,1.16
7,16.52,8.26,2.73
7,16.52,8.26,0.91
7,16.52,8.26,2.79
7,16.52,8.26,1.67
7,16.52,8.26,2.81
7,16.52,8.26,2.69
7,16.52,8.26,1.62
7,16.52,8.26,3.23
7,16.52,8.26,2.23
7,16.52,8.26,0.6
7,16.52,8.26,2.74
7,16.52,8.26,0.71
7,16.52,8.26,0.63
7,16.52,8.26,4.5
7,16.52,8.26,0.21
7,16.52,8.26,1.02
7,16.52,8.26,2.3
7,16.52,8.26,0.98
7,16.52,8.26,1.29
7,16.52,8.26,0.87
7,16.52,8.26,0.14
7,16.52,8.26,0.88
7,16.52,8.26,2.03
7,16.52,8.26,1.05
7,16.52,8.26,1.26
7,16.52,8.26,1.66
7,16.52,8.26,3.14
7,16.52,8.26,1.65
7,16.52,8.26,0.31
7,16.52,8.26,2.3
7,16.52,8.26,4.19
7,16.52,8.26,0.14
7,16.52,8.26,0.16
7,16.52,8.26,2.38
7,16.52,8.26,1.59
7,16.52,8.26,0.47
7,16.52,8.26,2.69
7,16.52,8.26,3.27
7,16.52,8.26,0.76
7,16.52,8.26,0.52
7,16.52,8.26,0.29
7,16.52,8.26,2.63
7,16.52,8.26,0.71
7,16.52,8.26,3
7,16.52,8.26,0.62
7,16.52,8.26,1.78
7,16.52,8.26,0.75
7,16.52,8.26,2.1
10,16.52,8.26,0.23
10,16.52,8.26,0.59
10,16.52,8.26,0.6
10,16.52,8.26,0.38
10,16.52,8.26,0.74
10,16.52,8.26,0.06
10,16.52,8.26,0.9
10,16.52,8.26,1.95
10,16.52,8.26,1.09
10,16.52,8.26,1.44
10,16.52,8.26,0.65
10,16.52,8.26,1.42
10,16.52,8.26,2.33
10,16.52,8.26,0.89
10,16.52,8.26,0.24
10,16.52,8.26,0.34
10,16.52,8.26,1.97
10,16.52,8.26,0.36
10,16.52,8.26,1.77
10,16.52,8.26,3.68
10,16.52,8.26,2.93
10,16.52,8.26,1.37
10,16.52,8.26,0.88
10,16.52,8.26,0.72
10,16.52,8.26,1.81
10,16.52,8.26,1.32
10,16.52,8.26,0.23
10,16.52,8.26,3.28
10,16.52,8.26,3.28
10,16.52,8.26,1.56
10,16.52,8.26,0.32
10,16.52,8.26,0.83
10,16.52,8.26,2.09
10,16.52,8.26,0.88
10,16.52,8.26,2.5
10,16.52,8.26,0.73
10,16.52,8.26,1.56
10,16.52,8.26,3.03
10,16.52,8.26,3.01
10,16.52,8.26,1.36
10,16.52,8.26,1.35
10,16.52,8.26,0.88
10,16.52,8.26,2.65
10,16.52,8.26,0.77
10,16.52,8.26,0.58
10,16.52,8.26,4.91
10,16.52,8.26,4.91
10,16.52,8.26,1.04
10,16.52,8.26,0.01
10,16.52,8.26,0.43
10,16.52,8.26,3.74
10,16.52,8.26,2.41
10,16.52,8.26,0.23
10,16.52,8.26,0.58
10,16.52,8.26,3.85
10,16.52,8.26,4.57
10,16.52,8.26,1.55
10,16.52,8.26,0.16
10,16.52,8.26,0.24
10,16.52,8.26,2.97
10,16.52,8.26,5.27
10,16.52,8.26,1.35
10,16.52,8.26,0.06
10,16.52,8.26,2.56
10,16.52,8.26,4.6
10,16.52,8.26,1.36
10,16.52,8.26,0.86
10,16.52,8.26,1.11
10,16.52,8.26,1.7
10,16.52,8.26,2.1
10,16.52,8.26,1.71
10,16.52,8.26,2.2
10,16.52,8.26,0.86
10,16.52,8.26,2.4
10,16.52,8.26,1.03
10,16.52,8.26,2.57
10,16.52,8.26,1.78
10,16.52,8.26,1.28
10,16.52,8.26,3.06
10,16.52,8.26,0.96
10,16.52,8.26,1.42
10,16.52,8.26,1.74
10,16.52,8.26,3.17
10,16.52,8.26,0.62
10,16.52,8.26,2.26
10,16.52,8.26,1.48
10,16.52,8.26,2.89
10,16.52,8.26,1.66
10,16.52,8.26,3.03
10,16.52,8.26,4.4
10,16.52,8.26,5.93
10,16.52,8.26,6.77
10,16.52,8.26,5.18
10,16.52,8.26,4.73
10,16.52,8.26,5.16
10,16.52,8.26,3.78
10,16.52,8.26,0.71
10,16.52,8.26,1.22
10,16.52,8.26,0.72
10,16.52,8.26,0.4
10,16.52,8.26,1.67
10,16.52,8.26,0.87
10,16.52,8.26,0.54
10,16.52,8.26,1
10,16.52,8.26,1.75
10,16.52,8.26,0.03
10,16.52,8.26,1.7
10,16.52,8.26,1.45
10,16.52,8.26,0.51
10,16.52,8.26,1.51
10,16.52,8.26,0.36
10,16.52,8.26,2.04
12,16.52,8.26,2.16
12,16.52,8.26,0.1
12,16.52,8.26,0.63
12,16.52,8.26,1.34
12,16.52,8.26,1.81
12,16.52,8.26,0.63
12,16.52,8.26,0.07
12,16.52,8.26,0.06
12,16.52,8.26,2.88
12,16.52,8.26,0.74
12,16.52,8.26,0.92
12,16.52,8.26,2.01
12,16.52,8.26,0.25
12,16.52,8.26,0.75
12,16.52,8.26,0.36
12,16.52,8.26,0.08
12,16.52,8.26,1.84
12,16.52,8.26,1.2
12,16.52,8.26,2.09
12,16.52,8.26,0.48
12,16.52,8.26,1.39
12,16.52,8.26,0.32
12,16.52,8.26,2.11
12,16.52,8.26,1.38
12,16.52,8.26,1.54
12,16.52,8.26,0.17
12,16.52,8.26,0.46
12,16.52,8.26,0.9
12,16.52,8.26,0.42
12,16.52,8.26,1.8
12,16.52,8.26,2.48
12,16.52,8.26,0.43
12,16.52,8.26,1.49
12,16.52,8.26,1.94
12,16.52,8.26,0.45
12,16.52,8.26,0.42
12,16.52,8.26,0.39
12,16.52,8.26,0.62
12,16.52,8.26,0.08
12,16.52,8.26,1.54
12,16.52,8.26,1.28
12,16.52,8.26,0.29
12,16.52,8.26,0.75
12,16.52,8.26,0.73
12,16.52,8.26,1.59
12,16.52,8.26,0.37
12,16.52,8.26,1.69
12,16.52,8.26,1.09
12,16.52,8.26,1.67
12,16.52,8.26,1.81
12,16.52,8.26,0.25
12,16.52,8.26,0.76
12,16.52,8.26,0.9
12,16.52,8.26,1.66
12,16.52,8.26,0.92
12,16.52,8.26,0.52
12,16.52,8.26,0.47
12,16.52,8.26,0.03
12,16.52,8.26,1.59
12,16.52,8.26,1.19
12,16.52,8.26,1.93
12,16.52,8.26,0.82
12,16.52,8.26,1.1
12,16.52,8.26,1.49
12,16.52,8.26,1.39
12,16.52,8.26,1.63
12,16.52,8.26,1.12
12,16.52,8.26,0.23
12,16.52,8.26,0.58
12,16.52,8.26,1.58
12,16.52,8.26,1.66
12,16.52,8.26,1.43
12,16.52,8.26,0.08
12,16.52,8.26,0.16
12,16.52,8.26,2.88
12,16.52,8.26,1.38
12,16.52,8.26,0.43
12,16.52,8.26,1.4
12,16.52,8.26,2.53
12,16.52,8.26,3.23
12,16.52,8.26,3.49
12,16.52,8.26,1.9
12,16.52,8.26,2.2
12,16.52,8.26,1.19
12,16.52,8.26,2.19
12,16.52,8.26,0.73
12,16.52,8.26,2.3
12,16.52,8.26,1.83
12,16.52,8.26,1.79
12,16.52,8.26,0.64
12,16.52,8.26,4.37
12,16.52,8.26,1.35
12,16.52,8.26,1.33
12,16.52,8.26,0.85
12,16.52,8.26,4.12
12,16.52,8.26,3.49
12,16.52,8.26,0.56
12,16.52,8.26,0.5
12,16.52,8.26,3.88
12,16.52,8.26,0.67
12,16.52,8.26,1.88
12,16.52,8.26,0.53
12,16.52,8.26,2.32
12,16.52,8.26,1.16
12,16.52,8.26,2.06
12,16.52,8.26,1.83
12,16.52,8.26,2.06
12,16.52,8.26,1.32
12,16.52,8.26,1.04
12,16.52,8.26,0.74
12,16.52,8.26,2.56
12,16.52,8.26,2.67
12,16.52,8.26,1.11
12,16.52,8.26,1.56
12,16.52,8.26,0.82
12,16.52,8.26,1.88
12,16.52,8.26,1.83
12,16.52,8.26,1.11
12,16.52,8.26,1.72
12,16.52,8.26,1.15
12,16.52,8.26,1.76
12,16.52,8.26,1.68
12,16.52,8.26,0.32
12,16.52,8.26,2.26
12,16.52,8.26,1.43
